T,p,rho,V,E,H,S,Cv,Cp,u,JT,nu,k,phase,compound
Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Compound
273.16,0,0,infinite,2375.4,2501.5,26.617,1.3975,1.859,409.51,undefined,9.2179,0.017045,vapor,water
300,0,0,infinite,2413,2551.4,26.749,1.4033,1.8648,428.94,222.29,9.9262,0.018571,liquid,water
300,0,0,infinite,2413,2551.4,26.749,1.4033,1.8648,428.94,222.29,9.9262,0.018571,vapor,water
323.16,0,0,infinite,2445.5,2594.7,26.853,1.4098,1.8713,444.94,undefined,10.634,0.020102,vapor,water
373.16,0,0,infinite,2516.5,2688.7,27.057,1.4283,1.8898,477.36,undefined,12.353,0.023895,vapor,water
423.16,0,0,infinite,2588.5,2783.8,27.238,1.4517,1.9132,507.33,undefined,14.233,0.028194,vapor,water
473.16,0,0,infinite,2661.7,2880.1,27.402,1.4785,1.94,535.29,undefined,16.209,0.032894,vapor,water
523.16,0,0,infinite,2736.3,2977.8,27.552,1.5075,1.969,561.57,undefined,18.24,0.037931,vapor,water
573.16,0,0,infinite,2812.5,3077,27.691,1.538,1.9995,586.43,undefined,20.303,0.04326,vapor,water
623.16,0,0,infinite,2890.2,3177.8,27.821,1.5696,2.0311,610.05,undefined,22.378,0.048849,vapor,water
673.16,0,0,infinite,2969.4,3280.1,27.943,1.602,2.0635,632.59,undefined,24.454,0.054669,vapor,water
723.16,0,0,infinite,3050.4,3384.1,28.059,1.6353,2.0968,654.17,undefined,26.522,0.060696,vapor,water
773.16,0,0,infinite,3133,3489.8,28.169,1.6693,2.1308,674.89,undefined,28.574,0.066912,vapor,water
823.16,0,0,infinite,3217.3,3597.2,28.275,1.704,2.1655,694.84,undefined,30.606,0.073297,vapor,water
873.16,0,0,infinite,3303.4,3706.4,28.377,1.7391,2.2006,714.09,undefined,32.614,0.079838,vapor,water
923.16,0,0,infinite,3391.2,3817.3,28.474,1.7745,2.236,732.71,undefined,34.596,0.086519,vapor,water
973.16,0,0,infinite,3480.8,3930,28.569,1.8101,2.2716,750.76,undefined,36.551,0.093328,vapor,water
1023.2,0,0,infinite,3572.2,4044.4,28.661,1.8456,2.3071,768.3,undefined,38.476,0.10025,vapor,water
1073.2,0,0,infinite,3665.4,4160.7,28.749,1.8808,2.3423,785.38,undefined,40.373,0.10729,vapor,water
1123.2,0,0,infinite,3760.3,4278.7,28.836,1.9156,2.3772,802.02,undefined,42.239,0.11442,vapor,water
1173.2,0,0,infinite,3857,4398.4,28.92,1.9499,2.4114,818.28,undefined,44.076,0.12164,vapor,water
1223.2,0,0,infinite,3955.3,4519.8,29.002,1.9834,2.4449,834.19,undefined,45.884,0.12894,vapor,water
1273.2,0,0,infinite,4055.3,4642.9,29.082,2.0161,2.4776,849.76,undefined,47.662,0.13631,vapor,water
273.16,0.03,999.81,0.0010002,0.00054549,0.030551,1.9961e-06,4.2173,4.2198,1402.3,-0.24142,1791.1,0.56105,liquid,water
323.16,0.03,988,0.0010121,209.37,209.4,0.70393,4.0263,4.1815,1542.5,-0.20624,546.74,0.64357,liquid,water
342.25,0.03,978.25,0.0010222,289.24,289.27,0.94407,3.9299,4.1897,1554.4,-0.19567,408.94,0.66238,liquid,water
342.25,0.03,0.19126,5.2284,2467.7,2624.5,7.7675,1.4923,1.9841,455.03,104.63,11.231,0.021986,vapor,water
